Homepage
20 20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,T,T,T,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,T,1,1,1,T,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,1,2,2,2,2,2,1,0,0,0,0,3,1,3,
0,0,0,0,0,1,2,L,2,2,2,L,2,1,0,0,C,1,1,1,
0,0,0,0,0,1,L,#,2,X,2,2,L,1,2,2,2,1,1,1,
0,0,0,0,0,1,2,#,2,2,2,2,2,1,0,0,C,1,1,1,
0,0,0,0,0,1,2,#,2,2,2,2,2,1,0,0,0,1,1,1,
0,0,0,0,0,0,L,#,2,2,2,S2,L,0,0,0,0,3,1,3,
0,0,0,0,0,0,1,L,2,2,2,L,1,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,S,1,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,W,1,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,
